Player,Score
Alkor_tv,75639.26532497794
Steel4ttack,75568.15908653356
AutomaticSideLoader,75568.15908653356
ConnorK,75331.95857844922
Kingsam101,75284.2615867911
DJNattie,75214.12743893638
tsira,74985.91965941062
Culfy,74875.78152467712
MangoPomeloSago,74759.40606953524
Vorime,74677.12820111206
FINN_Dupsuk,74652.82994147962
DrZebsPhD,74648.71127624507
Zach_Smith,74513.48731213619
Hot_David_,74443.96225194879
Julie_underscore,74235.96990955669
MindfulLine3,74216.6669358349
BigStix06,74127.8328663769
Strawbrary,74097.79223841676
stipowll,74097.79223841676
Olvior,74028.84802978476
haimo,73955.45581616928
Magolor9000,73891.24797024987
Kotourachan,73890.36850947233
S2speed,73822.59176213706
Miyaforlife,73802.84746122599
White_Ling,73760.4514031509
TheHollowMC,73743.72760446915
Samw1tch,73713.5375982051
MohammedElshafei,73397.38835942086
eNaReL,73276.77040466393
ZEnryco,73180.04354875752
p_sebastian,72988.09597619195
Ferni_Valentine,72871.36719672535
Andrwe,72804.12718443728
SacrificialLam,72796.90261762479
Platinum,72669.85743656357
Ariq_,72536.09565053006
Teto,72495.72382151904
Alo_One,72479.91234477721
AcfunMakise,72306.5215088317
Zirob21,72290.71100102365
SAD_DE,72281.8387128449
h6303jixd,72271.3600935349
Wumper,72269.54155106355
isnialan,72203.13260299525
Halovic,72201.76690062863
VlaDOS_095,72164.98804915654
raccoon_gal,72163.55071070156
Dangil,71938.41006649272
Aerrus,71938.41006649272
belfegordo,71918.52869802192
Beatami,71872.45690922877
BioSilver,71806.59440921934
hartenbower,71675.14071703632
WhiskyUniform,71544.04766588345
Sera522,71544.04766588345
prinnrose,71534.49636955219
Eisog,71434.95530972985
Princess_Lexy,71411.12836171592
Northirn,71294.03927387242
Vlubbher,71152.91920853536
DevilishBird,71067.54791938973
Asm0tv,71048.09193052271
Dako_Taco_bb,70700.64300176958
Azalaxx,70681.55036507225
Hihya,70636.38429752066
Gaubbe,70444.13294379039
L_Walker,70360.8962573907
firewollf,70316.40108802402
Flapadiddle,70282.54010660583
Cajunwildcat,70193.97466757036
Moochyy_,70125.45371901912
pugs93,70051.76754683607
Dav0spheer,69998.58725251327
AlexKnauth,69884.66466891729
newbiegcz,69777.51084657034
Akustor,69722.5
gabopsouza,69620.04669029963
Zenonira,69539.44745134226
janvanganza,69539.3625190612
buhbai,69494.54865958575
belle0317,69477.07044561273
Onaku,69431.92685725984
Feenie,69417.96672304005
Gremlinesme,69388.55957603129
Scythear,69244.56847124857
Torkjeld,69243.38770051388
kaxymonoxy,69182.28417624682
oxidiot,69182.28417624682
DerpySR,69178.50887617585
Ptkyr,69120.08387894001
ChompsOnTheLoose,69111.34882065815
Ristor,69061.66975465759
daltonysme,68990.08313472098
zcolbster,68869.13633582355
kerchoo42,68832.18715554211
DadVlad,68657.0788427722
Farfux,68564.0363003428
gcghvcg,68540.71093344135
SerenePrince,68502.66773210312
BlueDragon1130,68482.63789141052
Flintel,68441.38151935098
eharmony23,68366.71300674453
ough,68304.6733997802
SeaPickles,68197.05728227984
iKizu_,68193.37680854963
AxtonKincaid,68175.65555374278
GregTheBoomer,68136.18064413266
Prodigal1,67791.48028289573
Sardine_Slayer,67757.92518416072
colemere,67712.31740723773
Gsmall,67677.30517846737
Sarahspeedrun,67652.08853104697
JustSuperJump,67620.32576177285
Kitosan,67620.32576177285
ACertainName,67606.97468760192
Truelegends0686,67563.41827364556
Belial_13,67471.88326980793
Dankids,67456.52805897355
Ville907,67442.24615339046
Mabian,67393.12617178368
PrincePratty,67393.12617178368
xuwuxw,67336.5051903114
bili_Radiance,67306.58305824154
siybs,67232.72746938314
LocusSK,67173.13719757558
foxxx,67074.6418476873
B3traya1_,67054.46778212888
pULE_BlueGoat,67054.19408288295
RongNian,66942.14876033059
yagg,66942.14876033059
HypoCritical0_0,66876.3708840225
klebn,66830.11171090604
Des,66830.11171090604
FFbestfriend,66774.19863097636
Korophyl,66758.21477479067
Slash15,66718.35569080412
MikeFromStream,66699.25411105146
DreeBS,66699.25411105146
aMellophone,66662.58277312334
blackpear420,66640.37152366611
fa1nt,66581.56687484274
samdwidge,66581.56687484274
vitaminE,66581.56687484274
Bosjesmannen,66527.51383430492
BakaNA,66512.52270533971
Stalky,66495.68298603999
UnderTheBed,66464.1908432326
Darastros,66389.68710878884
Lerghik,66384.7644348928
vATomyy,66362.87923854848
Joshpai,66288.70790766196
Brindley,66288.70790766196
LJC00118,66274.12318005922
_Astral,66172.10510189722
JeviLevee,66172.10510189722
Chory,66055.80968482068
BlueTomato,66053.66886896997
Beetlemuncher,66053.66886896997
OhkoXar,66051.99223522832
Gliscor989,65988.69989493735
Skarfelt,65939.8205769289
drderekk,65939.8205769289
gaoshenme,65889.04919745524
mandosrb,65824.1367034532
funk999,65670.51187135208
Seeo,65610.52614590706
Schy,65607.68903604185
bananafishbones,65593.68038419912
Yuushi,65478.9058123333
Durt_,65478.9058123333
Lemonplaymagic,65421.63146054686
RoninPls,65346.41560857405
DrCrowtron,65309.68664934517
P4yin,65234.918829887756
Moonshine_,65144.227647385334
WhyNaught,65079.55815660511
buckeye734,65079.55815660511
PLTBreeze,65022.80685504662
Taostr,65022.80685504662
JuegAriel,65007.100326503925
FacadeVT,64967.72486943718
judooochp,64865.31663397213
Rekinn,64796.54236592979
ObsKure,64683.85274835344
ThickCoconut,64593.96433470508
I_r_foole,64571.45684821199
Lernaea,64550.04692412213
El_chachon,64434.76793351589
LunarFugue,64403.41148847416
skun,64403.41148847416
chiaki,64343.09722186679
PastaLays,64276.15933412604
SpaceNarc,64244.16241210977
jp8a,64223.41992355913
Wildpants69,64180.369538249906
vgfreak95,64180.369538249906
acaroline,64135.47359060717
Parables,64118.135646301125
Quacksilver,64095.532096486866
puggytatoes,64027.06035697898
FuzzyGames,63954.93751239833
XundAO,63903.19271008861
Kneato,63903.19271008861
Kronecker,63882.93646264508
burkicle,63792.824522202376
maybe669,63785.424864586836
libiDodo,63647.54541522493
inoki,63627.80758456347
ZeroXis,63440.05559266465
IllegalGarbage13,63388.34167136291
frocss84,63388.34167136291
Lagiacrus,63245.24916175281
DianaR,63190.87972591417
JQKAJA,63130.71811477575
Kenorah,63098.88553436825
Drauce,63082.35097011136
NedransDirtbag,63028.19140963686
LastSparx,63028.19140963686
polar2046,63028.19140963686
Furby_81,63028.19140963686
StaciFaye,62974.10156753671
Epsnu,62974.10156753671
quarth,62922.70556858132
KCS,62772.67546873264
Shaderrr,62704.693955220115
peaches_,62704.693955220115
dudexthree,62642.34855461467
DTail74,62620.16041966014
double_negative,62543.87839254888
dimanxing,62517.53929589197
DoxsEgo,62490.41066394487
ZergIing1,62490.41066394487
Sawny,62490.41066394487
anju,62468.200531261784
gulebamse,62437.011469062745
problemstrol,62437.011469062745
JKontan,62437.011469062745
Zordix,62330.41821240759
minted__,62277.2239172304
Upgraded_Gaming,62216.16043908434
mmmmmelatonin,62118.04896909652
NFreak,62065.12624607214
Star_Sterny,61965.642632495474
Firemann,61965.642632495474
methelumi,61959.48349713953
medi,61959.48349713953
WaffleMelons,61959.48349713953
Marshbag12,61915.72066664026
sunday_btw,61915.72066664026
Asits61,61865.859005149636
baibloom,61860.40508317384
Neptune27_,61794.508517854454
Marcel69,61766.31620710176
TraceWasNotTaken,61696.5536706443
Dyenamite,61675.71341938174
Fasu,61667.01346398135
Leish,61591.85016185241
Glitchy,61567.95000452776
remisiki,61567.95000452776
Alosno,61539.59832949596
Zoltorion,61487.412961200425
Mudpip,61469.12506057536
Kelp_V,61447.671831941654
LunaTheDragon,61435.29394429099
DustZyar,61419.801792702936
dax_,61383.241166331514
thistle_dew,61369.75747896048
obr1an,61331.2545151239
Spongerob,61331.2545151239
Dedezim,61321.33318842528
PolichineL,61272.18766189694
Jeiwriter,61272.18766189694
KounterKitty,61227.47914535863
GrooseLightning,61175.69020358965
SebaxReloaded,61076.19518395594
Peanutphobia,61020.71701641837
muJik,60986.446919550304
Azerade42,60917.72848284289
Smonkiboi,60917.72848284289
Exyl,60917.72848284289
MinW,60815.000459830146
Fjado,60796.175292928354
abduzcan_yolo,60687.020896734444
electrostats,60661.39496326747
ACertainNoob,60661.39496326747
Msushi,60610.32243767314
Luffuu,60610.32243767314
Phuuapeet4,60559.31438401978
Noix,60559.31438401978
Verkir,60559.31438401978
piggycategory,60542.03901525372
RecurringOddity,60452.73826050973
shreshthanigans,60434.65002814787
Archaic84,60406.675971143755
IntenzeMcNugget,60355.924722830314
Jowshieee,60349.53662829443
thearlonian,60305.23740638165
Mutapia,60302.02086007088
Dark_elder,60301.55449015647
Wltrf,60301.55449015647
thatlow,60254.61391446201
Tickler,60254.61391446201
broketail,60205.76172610278
